"date","cases_imported","imported_cases_total"
"2019-12-31",0,0
"2020-01-01",0,0
"2020-01-02",0,0
"2020-01-03",0,0
"2020-01-04",0,0
"2020-01-05",0,0
"2020-01-06",0,0
"2020-01-07",0,0
"2020-01-08",0,0
"2020-01-09",0,0
"2020-01-10",0,0
"2020-01-11",0,0
"2020-01-12",0,0
"2020-01-13",0,0
"2020-01-14",0,0
"2020-01-15",0,0
"2020-01-16",0,0
"2020-01-17",0,0
"2020-01-18",0,0
"2020-01-19",0,0
"2020-01-20",0,0
"2020-01-21",0,0
"2020-01-22",0,0
"2020-01-23",0,0
"2020-01-24",0,0
"2020-01-25",0,0
"2020-01-26",0,0
"2020-01-27",0,0
"2020-01-28",0,0
"2020-01-29",0,0
"2020-01-30",0,0
"2020-01-31",0,0
"2020-02-01",0,0
"2020-02-02",0,0
"2020-02-03",0,0
"2020-02-04",0,0
"2020-02-05",0,0
"2020-02-06",0,0
"2020-02-07",0,0
"2020-02-08",0,0
"2020-02-09",0,0
"2020-02-10",0,0
"2020-02-11",0,0
"2020-02-12",0,0
"2020-02-13",0,0
"2020-02-14",0,0
"2020-02-15",0,0
"2020-02-16",0,0
"2020-02-17",0,0
"2020-02-18",0,0
"2020-02-19",0,0
"2020-02-20",0,0
"2020-02-21",0,0
"2020-02-22",0,0
"2020-02-23",0,0
"2020-02-24",0,0
"2020-02-25",0,0
"2020-02-26",0,0
"2020-02-27",0,0
"2020-02-28",0,0
"2020-02-29",0,0
"2020-03-01",0,0
"2020-03-02",0,0
"2020-03-03",0,0
"2020-03-04",0,0
"2020-03-05",0,0
"2020-03-06",0,0
"2020-03-07",0,0
"2020-03-08",0,0
"2020-03-09",0,0
"2020-03-10",0,0
"2020-03-11",0,0
"2020-03-12",0,0
"2020-03-13",0,0
"2020-03-14",0,0
"2020-03-15",0,0
"2020-03-16",0,0
"2020-03-17",0,0
"2020-03-18",0,0
"2020-03-19",0,0
"2020-03-20",0,0
"2020-03-21",0,0
"2020-03-22",0,0
"2020-03-23",0,0
"2020-03-24",0,0
"2020-03-25",0,0
"2020-03-26",0,0
"2020-03-27",0,0
"2020-03-28",0,0
"2020-03-29",0,0
"2020-03-30",0,0
"2020-03-31",0,0
"2020-04-01",0,0
"2020-04-02",0,0
"2020-04-03",0,0
"2020-04-04",0,0
"2020-04-05",0,0
"2020-04-06",0,0
"2020-04-07",0,0
"2020-04-08",0,0
"2020-04-09",0,0
"2020-04-10",0,0
"2020-04-11",0,0
"2020-04-12",0,0
"2020-04-13",0,0
"2020-04-14",0,0
"2020-04-15",0,0
"2020-04-16",0,0
"2020-04-17",0,0
"2020-04-18",0,0
"2020-04-19",0,0
"2020-04-20",0,0
"2020-04-21",0,0
"2020-04-22",0,0
"2020-04-23",0,0
"2020-04-24",13,13
"2020-04-25",3,16
"2020-04-26",5,21
"2020-04-27",5,26
"2020-04-28",10,36
"2020-04-29",72,108
"2020-04-30",25,133
"2020-05-01",12,145
"2020-05-02",11,156
"2020-05-03",52,208
"2020-05-04",7,215
"2020-05-05",0,215
"2020-05-06",1,216
"2020-05-07",1,217
"2020-05-08",4,221
"2020-05-09",1,222
"2020-05-10",0,222
"2020-05-11",13,235
"2020-05-12",3,238
"2020-05-13",4,242
"2020-05-14",0,242
"2020-05-15",1,243
"2020-05-16",6,249
"2020-05-17",5,254
"2020-05-18",21,275
"2020-05-19",2,277
"2020-05-20",10,287
"2020-05-21",3,290
"2020-05-22",25,315
"2020-05-23",4,319
"2020-05-24",7,326
"2020-05-25",5,331
"2020-05-26",10,341
"2020-05-27",6,347
"2020-05-28",0,347
"2020-05-29",7,354
"2020-05-30",3,357
"2020-05-31",10,367
"2020-06-01",26,393
"2020-06-02",15,408
"2020-06-03",0,408
"2020-06-04",2,410
"2020-06-05",7,417
"2020-06-06",8,425
"2020-06-07",6,431
"2020-06-08",2,433
"2020-06-09",6,439
"2020-06-10",1,440
"2020-06-11",11,451
"2020-06-12",16,467
"2020-06-13",5,472
"2020-06-14",2,474
"2020-06-15",3,477
"2020-06-16",1,478
"2020-06-17",0,478
"2020-06-18",3,481
"2020-06-19",2,483
"2020-06-20",2,485
"2020-06-21",3,488
"2020-06-22",2,490
"2020-06-23",0,490
"2020-06-24",2,492
"2020-06-25",3,495
"2020-06-26",5,500
"2020-06-27",4,504
"2020-06-28",4,508
"2020-06-29",1,509
"2020-06-30",1,510
"2020-07-01",1,511
"2020-07-02",1,512
"2020-07-03",3,515
"2020-07-04",7,522
"2020-07-05",3,525
"2020-07-06",3,528
"2020-07-07",4,532
"2020-07-08",3,535
"2020-07-09",6,541
"2020-07-10",8,549
"2020-07-11",4,553
"2020-07-12",3,556
"2020-07-13",6,562
"2020-07-14",4,566
"2020-07-15",1,567
"2020-07-16",1,568
"2020-07-17",10,578
"2020-07-18",4,582
"2020-07-19",4,586
"2020-07-20",6,592
"2020-07-21",4,596
"2020-07-22",8,604
"2020-07-23",3,607
"2020-07-24",5,612
"2020-07-25",6,618
"2020-07-26",3,621
"2020-07-27",4,625
"2020-07-28",11,636
"2020-07-29",8,644
"2020-07-30",3,647
"2020-07-31",5,652
"2020-08-01",7,659
"2020-08-02",1,660
"2020-08-03",0,660
"2020-08-04",0,660
"2020-08-05",15,675
"2020-08-06",5,680
"2020-08-07",9,689
"2020-08-08",6,695
"2020-08-09",9,704
"2020-08-10",5,709
"2020-08-11",5,714
"2020-08-12",8,722
"2020-08-13",4,726
"2020-08-14",7,733
"2020-08-15",3,736
"2020-08-16",16,752
"2020-08-17",2,754
"2020-08-18",4,758
"2020-08-19",4,762
"2020-08-20",5,767
"2020-08-21",4,771
"2020-08-22",3,774
"2020-08-23",8,782
"2020-08-24",2,784
"2020-08-25",2,786
"2020-08-26",1,787
"2020-08-27",2,789
"2020-08-28",8,797
"2020-08-29",10,807
"2020-08-30",15,822
"2020-08-31",4,826
"2020-09-01",5,831
"2020-09-02",4,835
"2020-09-03",4,839
"2020-09-04",7,846
"2020-09-05",4,850
"2020-09-06",3,853
"2020-09-07",6,859
"2020-09-08",15,874
"2020-09-09",6,880
"2020-09-10",1,881
"2020-09-11",1,882
"2020-09-12",5,887
"2020-09-13",2,889
"2020-09-14",3,892
"2020-09-15",10,902
"2020-09-16",1,903
"2020-09-17",5,908
"2020-09-18",4,912
"2020-09-19",3,915
"2020-09-20",12,927
"2020-09-21",6,933
"2020-09-22",10,943
"2020-09-23",4,947
"2020-09-24",2,949
"2020-09-25",4,953
"2020-09-26",3,956
"2020-09-27",4,960
"2020-09-28",3,963
"2020-09-29",4,967
"2020-09-30",3,970
"2020-10-01",1,971
"2020-10-02",0,971
"2020-10-03",0,971
"2020-10-04",1,972
"2020-10-05",3,975
"2020-10-06",3,978
"2020-10-07",2,980
"2020-10-08",4,984
"2020-10-09",2,986
"2020-10-10",2,988
"2020-10-11",8,996
"2020-10-12",1,997
"2020-10-13",2,999
"2020-10-14",6,1005
"2020-10-15",3,1008
"2020-10-16",2,1010
"2020-10-17",0,1010
"2020-10-18",5,1015
"2020-10-19",7,1022
"2020-10-20",2,1024
"2020-10-21",8,1032
"2020-10-22",5,1037
"2020-10-23",1,1038
"2020-10-24",11,1049
"2020-10-25",0,1049
"2020-10-26",2,1051
"2020-10-27",5,1056
"2020-10-28",2,1058
"2020-10-29",7,1065
"2020-10-30",0,1065
"2020-10-31",0,1065
"2020-11-01",0,1065
"2020-11-02",3,1068
"2020-11-03",14,1082
"2020-11-04",3,1085
"2020-11-05",9,1094
"2020-11-06",3,1097
"2020-11-07",0,1097
"2020-11-08",13,1110
"2020-11-09",5,1115
"2020-11-10",1,1116
"2020-11-11",7,1123
"2020-11-12",3,1126
"2020-11-13",4,1130
"2020-11-14",2,1132
"2020-11-15",6,1138
"2020-11-16",1,1139
"2020-11-17",19,1158
"2020-11-18",4,1162
"2020-11-19",5,1167
"2020-11-20",5,1172
"2020-11-21",2,1174
"2020-11-22",6,1180
"2020-11-23",2,1182
"2020-11-24",0,1182
"2020-11-25",5,1187
"2020-11-26",4,1191
"2020-11-27",10,1201
"2020-11-28",5,1206
"2020-11-29",1,1207
"2020-11-30",9,1216
"2020-12-01",5,1221
"2020-12-02",4,1225
"2020-12-03",3,1228
"2020-12-04",3,1231
"2020-12-05",5,1236
"2020-12-06",3,1239
"2020-12-07",3,1242
"2020-12-08",7,1249
"2020-12-09",6,1255
"2020-12-10",5,1260
"2020-12-11",11,1271
"2020-12-12",2,1273
"2020-12-13",2,1275
"2020-12-14",1,1276
"2020-12-15",12,1288
"2020-12-16",10,1298
"2020-12-17",6,1304
"2020-12-18",8,1312
"2020-12-19",2,1314
"2020-12-20",3,1317
"2020-12-21",7,1324
"2020-12-22",4,1328
"2020-12-23",16,1344
"2020-12-24",2,1346
"2020-12-25",2,1348
"2020-12-26",11,1359
"2020-12-27",5,1364
"2020-12-28",3,1367
"2020-12-29",10,1377
"2020-12-30",2,1379
"2020-12-31",13,1392
"2021-01-01",2,1394
"2021-01-02",9,1403
"2021-01-03",5,1408
"2021-01-04",8,1416
"2021-01-05",16,1432
"2021-01-06",4,1436
"2021-01-07",6,1442
"2021-01-08",2,1444
"2021-01-09",5,1449
"2021-01-10",7,1456
"2021-01-11",6,1462
"2021-01-12",6,1468
"2021-01-13",2,1470
"2021-01-14",7,1477
"2021-01-15",5,1482
"2021-01-16",8,1490
"2021-01-17",15,1505
"2021-01-18",7,1512
"2021-01-19",7,1519
"2021-01-20",5,1524
"2021-01-21",8,1532
"2021-01-22",6,1538
"2021-01-23",11,1549
"2021-01-24",7,1556
"2021-01-25",8,1564
"2021-01-26",2,1566
"2021-01-27",6,1572
"2021-01-28",8,1580
"2021-01-29",7,1587
"2021-01-30",5,1592
"2021-01-31",3,1595
"2021-02-01",9,1604
"2021-02-02",5,1609
"2021-02-03",6,1615
"2021-02-04",3,1618
"2021-02-05",4,1622
"2021-02-06",4,1626
"2021-02-07",8,1634
"2021-02-08",1,1635
"2021-02-09",6,1641
"2021-02-10",5,1646
"2021-02-11",15,1661
"2021-02-12",7,1668
"2021-02-13",1,1669
"2021-02-14",3,1672
"2021-02-15",1,1673
"2021-02-16",0,1673
"2021-02-17",7,1680
"2021-02-18",4,1684
"2021-02-19",17,1701
"2021-02-20",0,1701
"2021-02-21",6,1707
"2021-02-22",3,1710
"2021-02-23",4,1714
"2021-02-24",1,1715
"2021-02-25",6,1721
"2021-02-26",7,1728
"2021-02-27",1,1729
"2021-02-28",2,1731
"2021-03-01",7,1738
"2021-03-02",3,1741
"2021-03-03",2,1743
"2021-03-04",9,1752
"2021-03-05",5,1757
"2021-03-06",3,1760
"2021-03-07",10,1770
"2021-03-08",9,1779
"2021-03-09",2,1781
"2021-03-10",10,1791
"2021-03-11",5,1796
"2021-03-12",7,1803
"2021-03-13",12,1815
"2021-03-14",14,1829
"2021-03-15",9,1838
"2021-03-16",4,1842
"2021-03-17",7,1849
"2021-03-18",6,1855
"2021-03-19",11,1866
"2021-03-20",2,1868
"2021-03-21",11,1879
"2021-03-22",8,1887
"2021-03-23",9,1896
"2021-03-24",5,1901
"2021-03-25",1,1902
"2021-03-26",32,1934
"2021-03-27",5,1939
"2021-03-28",9,1948
"2021-03-29",8,1956
"2021-03-30",8,1964
"2021-03-31",2,1966
"2021-04-01",20,1986
"2021-04-02",26,2012
"2021-04-03",7,2019
"2021-04-04",7,2026
"2021-04-05",9,2035
"2021-04-06",24,2059
"2021-04-07",13,2072
"2021-04-08",17,2089
"2021-04-09",20,2109
"2021-04-10",5,2114
"2021-04-11",8,2122
"2021-04-12",12,2134
"2021-04-13",9,2143
"2021-04-14",6,2149
"2021-04-15",19,2168
"2021-04-16",29,2197
"2021-04-17",12,2209
"2021-04-18",10,2219
"2021-04-19",13,2232
"2021-04-20",7,2239
"2021-04-21",12,2251
"2021-04-22",29,2280
"2021-04-23",4,2284
"2021-04-24",26,2310
"2021-04-25",10,2320
"2021-04-26",3,2323
"2021-04-27",5,2328
"2021-04-28",13,2341
"2021-04-29",9,2350
"2021-04-30",2,2352
"2021-05-01",16,2368
"2021-05-02",10,2378
"2021-05-03",4,2382
"2021-05-04",6,2388
"2021-05-05",7,2395
"2021-05-06",16,2411
"2021-05-07",5,2416
"2021-05-08",5,2421
"2021-05-09",6,2427
"2021-05-10",5,2432
"2021-05-11",5,2437
"2021-05-12",7,2444
"2021-05-13",3,2447
"2021-05-14",1,2448
"2021-05-15",9,2457
"2021-05-16",2,2459
"2021-05-17",3,2462
"2021-05-18",5,2467
"2021-05-19",3,2470
"2021-05-20",2,2472
"2021-05-21",2,2474
"2021-05-22",3,2477
"2021-05-23",5,2482
"2021-05-24",20,2502
"2021-05-25",4,2506
"2021-05-26",5,2511
"2021-05-27",8,2519
"2021-05-28",2,2521
"2021-05-29",5,2526
"2021-05-30",4,2530
"2021-05-31",3,2533
"2021-06-01",2,2535
"2021-06-02",2,2537
"2021-06-03",64,2601
"2021-06-04",2,2603
"2021-06-05",8,2611
"2021-06-06",14,2625
"2021-06-07",14,2639
"2021-06-08",4,2643
"2021-06-09",11,2654
"2021-06-10",8,2662
"2021-06-11",4,2666
"2021-06-12",6,2672
"2021-06-13",5,2677
"2021-06-14",6,2683
"2021-06-15",6,2689
"2021-06-16",3,2692
"2021-06-17",3,2695
"2021-06-18",5,2700
"2021-06-19",1,2701
"2021-06-20",7,2708
"2021-06-21",8,2716
"2021-06-22",2,2718
"2021-06-23",7,2725
"2021-06-24",8,2733
"2021-06-25",32,2765
"2021-06-26",10,2775
"2021-06-27",3,2778
"2021-06-28",7,2785
"2021-06-29",14,2799
"2021-06-30",16,2815
"2021-07-01",5,2820
"2021-07-02",3,2823
"2021-07-03",11,2834
"2021-07-04",20,2854
"2021-07-05",26,2880
"2021-07-06",11,2891
"2021-07-07",26,2917
"2021-07-08",10,2927
"2021-07-09",7,2934
"2021-07-10",11,2945
"2021-07-11",18,2963
"2021-07-12",40,3003
"2021-07-13",27,3030
"2021-07-14",26,3056
"2021-07-15",13,3069
"2021-07-16",16,3085
"2021-07-17",19,3104
"2021-07-18",12,3116
"2021-07-19",48,3164
"2021-07-20",8,3172
"2021-07-21",7,3179
"2021-07-22",25,3204
"2021-07-23",32,3236
