date,casual_contacts,hide_large,hide_small
2021-03-01,7847,,
2021-03-02,6419,,
2021-03-03,6903,,
2021-03-04,7000,,
2021-03-05,9152,,
2021-03-06,11575,,
2021-03-07,10023,,
2021-03-08,16245,,
2021-03-09,14310,,
2021-03-10,11289,,
2021-03-11,13284,,
2021-03-12,18326,,
2021-03-13,22648,,
2021-03-14,23356,,
2021-03-15,12348,,
2021-03-16,9145,,
2021-03-17,8946,,
2021-03-18,14968,,
2021-03-19,18314,,
2021-03-20,15434,,
2021-03-21,13952,,
2021-03-22,8993,,
2021-03-23,9505,,
2021-03-24,8377,,
2021-03-25,9248,,
2021-03-26,13768,,
2021-03-27,18349,,
2021-03-28,20509,,
2021-03-29,14744,,
2021-03-30,15089,,
2021-03-31,13233,,
2021-04-01,12252,,
2021-04-02,16375,,
2021-04-03,22904,,
2021-04-04,24918,,
2021-04-05,13456,,
2021-04-06,13206,,
2021-04-07,12776,,
2021-04-08,13378,,
2021-04-09,15530,,
2021-04-10,22063,,
2021-04-11,21719,,
2021-04-12,17452,,
2021-04-13,11869,,
2021-04-14,13510,,
2021-04-15,13750,,
2021-04-16,15638,,
2021-04-17,24358,,
2021-04-18,23630,,
2021-04-19,18817,,
2021-04-20,18550,70,628
2021-04-21,18219,59,710
2021-04-22,21050,69,737
2021-04-23,33945,102,959
2021-04-24,42312,133,1142
2021-04-25,42768,140,1131
2021-04-26,30531,116,1054
2021-04-27,30587,105,1048
2021-04-28,35359,108,1137
2021-04-29,46201,144,1229
2021-04-30,50541,151,1466
2021-05-01,74052,191,1741
2021-05-02,64137,189,1573
2021-05-03,46647,144,1516
2021-05-04,45769,143,1425
2021-05-05,54697,171,1572
2021-05-06,49861,168,1508
2021-05-07,40581,142,1370
2021-05-08,53588,184,1494
2021-05-09,41574,122,1357
2021-05-10,30923,89,1238
2021-05-11,34580,108,1421
2021-05-12,45522,170,1532
2021-05-13,24304,89,882
2021-05-14,38396,142,1163
2021-05-15,46753,181,1471
2021-05-16,44046,163,1444
2021-05-17,46311,174,1575
2021-05-18,43469,175,1500
2021-05-19,46147,173,1627
2021-05-20,47718,168,1652
2021-05-21,55725,215,1809
2021-05-22,48652,190,1598
2021-05-23,38709,159,1326
2021-05-24,39334,148,1405
2021-05-25,35332,135,1322
2021-05-26,25119,84,987
2021-05-27,20008,74,805
2021-05-28,11203,40,433
2021-05-29,8073,25,333
2021-05-30,10996,5,114
2021-05-31,17966,125,1055
2021-06-01,10750,30,361
2021-06-02,2407,3,57
2021-06-03,7501,4,71
2021-06-04,11439,6,80
2021-06-05,11835,11,103
2021-06-06,9360,2,78
2021-06-07,9370,6,113
2021-06-08,16398,13,208
2021-06-09,20146,15,240
2021-06-10,12405,18,255
2021-06-11,15231,28,258
2021-06-12,11232,17,205
2021-06-13,16588,24,352
2021-06-14,20738,26,427
2021-06-15,20305,28,400
2021-06-16,19818,25,381
2021-06-17,19829,25,405
2021-06-18,23455,30,471
2021-06-19,22337,27,422
2021-06-20,16905,19,366
2021-06-21,21364,23,433
2021-06-22,10803,18,206
2021-06-23,10037,16,209
2021-06-24,11612,14,273
2021-06-25,11299,22,234
2021-06-26,9135,14,199
2021-06-27,8261,15,157
2021-06-28,9730,13,203
2021-06-29,10364,14,206
2021-06-30,12832,20,263
2021-07-01,14046,18,312
2021-07-02,18670,28,338
2021-07-03,11767,24,256
2021-07-04,9977,12,212
2021-07-05,12455,12,265
2021-07-06,11809,12,244
2021-07-07,13541,21,286
2021-07-08,19235,31,374
2021-07-09,19503,25,353
2021-07-10,27155,34,569
2021-07-11,22005,28,451
2021-07-12,43348,49,827
2021-07-13,41265,55,826
2021-07-14,46591,61,931
2021-07-15,51738,67,1013
2021-07-16,52863,78,1001
2021-07-17,48744,71,1030
2021-07-18,44084,65,804
2021-07-19,61665,109,1389
2021-07-20,28581,49,774
2021-07-21,57466,93,1305
2021-07-22,57950,88,1408
2021-07-23,62824,108,1464
2021-07-24,58327,95,1330
2021-07-25,47918,86,1106
2021-07-26,74904,120,1639
2021-07-27,71218,116,1553
