state,idxs,pop,pop_18,pop_60,pop_12,pop_5
Malaysia,0,32657100,23528200,3649000,3111400,3550500
Klang Valley,17,8417800,6181800,827600,719000,895100
Johor,1,3794200,2733400,445600,353900,409800
Kedah,2,2193600,1554800,282300,209700,254100
Kelantan,3,1928900,1258700,202100,211200,271700
Melaka,4,937800,683700,123200,85600,98200
Negeri Sembilan,5,1128900,819200,150300,105900,117200
Pahang,6,1684700,1188000,198100,172000,192600
Perak,8,2509000,1878100,410000,228000,239700
Perlis,9,255500,182100,36300,23000,29100
Pulau Pinang,7,1774200,1374300,247600,139400,155600
Sabah,12,3832500,2716600,249000,426200,411000
Sarawak,13,2824700,2066100,348300,289200,286000
Selangor,10,6555100,4776300,607800,569200,715400
Terengganu,11,1275200,822000,120100,138000,178700
W.P. Kuala Lumpur,14,1746600,1332700,214200,139200,158300
W.P. Labuan,15,100100,69400,8500,10300,11700
W.P. Putrajaya,16,116100,72800,5600,10600,21400
